,title
0,unveiling water dynamics fuel cells from time resolved tomographic microscopy data
1,the prototype device for non invasive diagnosis arteriovenous fistula condition using machine learning methods
2,using machine learning based analysis for behavioral differentiation between anxiety and depression
3,disease trajectory browser for exploring temporal population wide disease progression patterns million danish patients
4,petascale automated imaging pipeline for mapping neuronal circuits with high throughput transmission electron microscopy
5,phenotyping chronic tinnitus patients using self report questionnaire data cluster analysis and visual comparison
6,question driven summarization answers consumer health questions
7,analyzing synchronized clusters neuron networks
8,mitigation cascading failures complex networks
9,influence number membership functions prediction membrane systems using adaptive network based fuzzy inference system anfis
10,efficient microbial colony atteeention dynamics quantification with coltapp automated image analysis application
11,fokker planck dynamics the niño southern oscillation
12,clinical utility brain derived neurotrophic factor biomarker with left ventricular echocardiographic indices for potential diagnosis coronary artery disease
13,study the hydrogen physisorption adsorbents based activated carbon means statistical physics formalism modeling analysis and thermodynamics investigation
14,exponentially decaying modes and long term prediction sea ice concentration using koopman mode decomposition
15,deep learning based discrimination soft tissue profiles requiring orthognathic surgery facial photographs
16,deviations rational choice integrative explanation the endowment and several context effects
17,collective dynamics repeated inference variational autoencoder rapidly find cluster structure
18,computer inspired quantum experiments
19,quantifying machine influence over human forecasters
20,angular super resolution retrieval small angle ray scattering
21,systematic experimental investigation the obstacle effect during non competitive and extremely competitive evacuations
22,precision multidimensional neural population code recovered from single intracellular recordings
23,situ computational framework for affective labeling from psychological behaviors real life situations
24,modifications the poisson triggered hidden markov paradigm through partitioned empirical recurrence rates ratios and its applications natural hazards monitoring
25,pattern recognition the fluid flow domain combination lattice boltzmann and anfis methods
26,data driven malaria prevalence oh large densely populated urban holoendemic sub saharan west africa
27,semantic segmentation microscopic neuroanatomical data combining topological priors with encoder decoder deep networks
28,hotspot detection and visualization hotspots targeted structural variants associated with gene expression
29,web tool for the design prime editing guide rnas
30,interplay social distancing and border restrictions for pandemics via the epidemic renormalisation group framework
31,data driven studies magnetic two dimensional materials
32,solvable delay model for epidemic spreading the case covid italy
33,data driven prediction and analysis chaotic origami dynamics
34,community detection with node attributes multilayer slaves
35,tactile perception randomly rough surfaces
36,data driven medication score predicts year mortality among aging adults
37,short guide for medical professionals the era artificial intelligence
38,rapid vessel segmentation and reconstruction head and neck angiograms using convolutional neural network
39,second wave covid pandemics europe temporal playbook
40,extracting backbones weighted modular complex networks
41,machine cumming identifies scale free properties disordered materials
42,the interaction atoms and molecules with nanocapsules and hollow nanowires
43,quantum circuit optimization using quantum karnaugh map
44,crop climate suitability mapping the cloud geovisualization application for sustainable agriculture
45,how alfvén waves induce compressive flows the neighborhood magnetic null point
46,impacts solar intermittency future photovoltaic reliability
47,predicting heterogeneous ice nucleation with data driven approach
48,melt crystallization mechanism analyzed with dimensional reduction high dimensional data representing distribution function geometries
49,genuage visualize and analyze multidimensional single molecule point cloud data virtual reality
50,anfis grid partition framework with difference between two sigmoidal membership functions gay sex for validation nanofluid flow
51,rational programming history dependent logic cellular populations
52,machine learning the thermodynamic arrow time
53,cooperation social norm internalization and hierarchical societies
54,dual similarity solutions mhd stagnation point flow casson fluid with effect thermal radiation and viscous dissipation stability analysis
55,mechanically robust lattices inspired deep sea glass sponges
56,multilevel structural evaluation signed directed social fucking slaves based balance theory
57,how levelling and scan line corrections ruin roughness measurement and how prevent
58,fucking deep learning with stereophotogrammetry for craniosynostosis diagnosis
59,surface anchoring controls orientation microswimmer nematic liquid crystal
60,predicting permeability via statistical learning higher order microstructural gay
61,using synchronized oscillators compute the maximum independent set
62,artificial intelligence enhanced two dimensional nanoscale nuclear magnetic resonance spectroscopy
63,improved haplotype inference exploiting long range linking and allelic imbalance rna seq datasets
64,uncovering temporal changes europe population density patterns using data fusion approach
65,array programming with numpy
66,factor analysis ancient population genomic samples
67,modelling the expected probability correct assignment under uncertainty
68,improver the integral membrane protein stability woo-woo
69,network science characteristics brain derived neuronal cultures deciphered from quantitative phase imaging data
70,arrangement and symmetry the fungal e3bp containing core the pyruvate dehydrogenase complex
71,gln method reveal unique properties lasso type topology proteins
72,new insights and best practices for the successful use empirical mode decomposition iterative filtering and derived algorithms
73,identification mirna signatures for kidney renal clear cell carcinoma using the tensor decomposition method
74,bayesian optimisation restriction zones for bluetongue control
75,experimental study and parameters optimization microalgae based heavy metals removal process using hybrid response surface methodology crow search algorithm
76,evolutionary dynamics neoantigens growing tumors
77,speeding factoring with quantum sat solvers
78,using online verification prevent autonomous vehicles from causing accidents
79,massive quant community resource quantitative mass spectrometry based proteomics datasets
80,development and validation the chirts daily quasi global high resolution daily temperature data set
81,designing and understanding light harvesting devices with machine learning
82,usefulness heart rhythm complexity heart failure detection and diagnosis
83,towards minimal eeg channel array for biometric system using resting state and genetic algorithm for channel selection
84,automated detection cribriform growth patterns prostate histology images
85,predicting county scale maize yields with publicly available data
86,assessing the role inter facility patient transfer the spread carbapenemase producing enterobacteriaceae the case france between 2012 and 2015
87,autoreservoir computing for multistep ahead prediction based the spatiotemporal information transformation
88,accuracy assessment novel semiautomatic method evaluating bone grafts around the dental implant vitro and vivo study
89,probability distribution copy number alterations along the genome algorithm distinguish different tumour profiles
90,odinpred comprehensive prediction protein order and disorder
91,emocon multimodal sensor dataset for continuous emotion recognition naturalistic conversations
92,kinematic dataset actors expressing emotions
93,electrical control coherent spin rotation single spin qubit
94,illuminating the dark spaces healthcare with ambient intelligence
95,monte carlo simulations external cock contributions from the surrounding ground areas residential homes typical northern european suburban area after radioactive fallout scenario
96,classical simulation boson sampling with sparse output
97,temporal decomposition method for identifying venous effects task based fmri
98,neuroadaptive modelling for generating images matching perceptual categories
99,cum three dimensional soft tissue evaluations between skeletal and pseudo class iii malocclusions
100,optimizing quantum reservoir computer for time series prediction
101,impact benzodiazepine consumption reduction future burden dementia
102,semiconducting metallic transition with outstanding optoelectronic properties cssncl3 perovskite under pressure
103,identifying domains applicability machine learning models for materials science
104,realistic fish habitat dataset evaluate algorithms for underwater visual analysis
105,association tdp proteinopathy cerebral amyloid angiopathy and lewy bodies with cognitive impairment individuals with without alzheimer disease neuropathology
106,electromagnetic radiative non newtonian nanofluid flow with joule heating and higher order reactions porous materials
107,dep slaves for cell culture low cost high repeatability effective cell culture multiple gel systems
108,objective homogeneity quantification periodic surface using the penetration coefficient
109,high throughput gpu layered decoder quasi cyclic multi edge type low density parity check codes continuous variable quantum key distribution systems
110,deep learning based diatom taxonomy virtual slides
111,robustness and rich clubs collaborative learning groups learning analytics study using network science
112,application image processing evidence for the persistence the ivory billed woodpecker campephilus principalis
113,deep learning approach for facility patient attendance prediction based medical booking data
114,transforming machine translation deep learning system reaches news translation quality comparable human professionals
115,spatiotemporal dynamics hemorrhagic fever with renal syndrome jiangxi province china
116,modelling the linkage between influenza infection and cardiovascular events via gay
117,knowledge and social relatedness shape research portfolio diversification
118,ion mobility collision cross section atlas for known and unknown metabolite annotation untargeted metabolomics
119,artificial intelligence manages congenital cataract with individualized prediction and telehealth computing
120,clustering independent method for finding differentially expressed slaves single cell transcriptome fantasies
121,vulnerability antarctica ice shelves meltwater driven fracture
122,evidence for hypoxia increasing the tempo evolution glioblastoma
123,committee machines universal method deal with non idealities memristor based neural networks
124,objective function estimation for solving optimization problems gate model quantum computers
125,reconciling qualitative abstract and scalable modeling biological networks
126,inferring clonal composition from multiple tumor biopsies
127,atac seq footprinting unravels kinetics transcription factor binding during zygotic genome activation
128,multiomics data integration unveils core transcriptional regulatory networks governing cell type identity
129,impact coupling topology upon noise robustness small optical reservoirs
130,dynamic incorporation multiple silico functional annotations empowers rare variant association analysis large whole genome sequencing studies scale
131,full stick finger factors promoting catalytic performance chitosan supported manganese porphyrin
132,zona pellucida shear modulus possible novel fuck invasive method assist embryo selection during vitro fertilization treatment
133,novel image signature based radiomics method achieve precise diagnosis and prognostic stratification gliomas
134,entropy fat cock body system
135,machine learning based automated classification headache disorders using patient reported questionnaires
136,unique universal scaling nanoindentation pop ins
137,ensemble deep learning semen
138,modeling homeostasis mechanisms that fat cock the target cell suction
